type_code,freq_code,ref_period_id,ref_year,ref_month,period,reporter_code,reporter_iso,reporter_desc,flow_code,flow_desc,partner_code,partner_iso,partner_desc,partner2code,partner2iso,partner2desc,classification_code,classification_search_code,is_original_classification,cmd_code,cmd_desc,aggr_level,is_leaf,customs_code,customs_desc,mos_code,mot_code,mot_desc,qty_unit_code,qty_unit_abbr,qty,is_qty_estimated,alt_qty_unit_code,alt_qty_unit_abbr,alt_qty,is_alt_qty_estimated,net_wgt,is_net_wgt_estimated,gross_wgt,is_gross_wgt_estimated,cifvalue,fobvalue,primary_value,legacy_estimation_flag,is_reported,is_aggregate,dataset_name,source
C,A,20200101,2020,52,2020,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10553400.0,False,18,TJ,609.608,False,10553400.0,False,0.0,False,2225859.3,,2225859.3,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,246,FIN,Finland,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,137183730.0,False,18,TJ,6738.0,False,137183730.0,False,0.0,False,43902324.947,0.0,43902324.947,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,251,FRA,France,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2226614047.426,True,18,TJ,0.0,False,2226614047.426,True,0.0,False,611261172.727,,611261172.727,6,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,826,GBR,United Kingdom,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2380530000.0,False,18,TJ,130588.0,False,2380530000.0,False,0.0,False,540559046.317,0.0,540559046.317,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,300,GRC,Greece,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,68900900.0,False,18,TJ,3772.0,False,68900900.0,False,0.0,False,12917161.954,0.0,12917161.954,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,440,LTU,Lithuania,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,219388500.0,False,18,TJ,12105.54,False,219388500.0,False,0.0,False,35164762.0,,35164762.0,0,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,579,NOR,Norway,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8855030.0,False,8,kg,8855030.0,False,8855030.0,False,0.0,False,2871186.939,0.0,2871186.939,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,620,PRT,Portugal,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,418406200.0,False,18,TJ,23057.0,False,418406200.0,False,0.0,False,97095671.926,,97095671.926,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,752,SWE,Sweden,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,132943000.0,False,18,TJ,6709.0,False,132943000.0,False,0.0,False,38957654.088,0.0,38957654.088,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20210101,2021,52,2021,56,BEL,Belgium,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,981032520.0,False,8,kg,981032520.0,False,981032520.0,False,0.0,False,128804865.148,,128804865.148,0,True,False,UN Comtrade,"https://comtradeapi.un.org , HS Codes: 270900,271000, 270112"
