CAEMP25N Total full-time and part-time employment by NAICS industry 1
CAEMP25N Total full-time and part-time employment by NAICS industry 1
Metropolitan Statistical Area
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
19140,"Dalton, GA (Metropolitan Statistical Area)",288,301,298,282,286,288,279,286,296,356,259,245,240,235,232,249,249,248
19180,"Danville, IL (Metropolitan Statistical Area)",1537,1535,1551,1575,1557,1531,1525,1534,1540,1516,1480,1546,1535,1486,1507,1510,1458,1435
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",298,313,305,309,317,334,305,314,315,370,315,328,330,327,334,344,349,357
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",6311,6526,6489,6607,6993,7118,7071,7139,6996,7814,7213,6543,6086,5756,5693,5728,5796,5690
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",17571,17607,17232,17212,17167,17049,16602,16336,17060,18603,19030,18568,18274,18143,18435,18714,18856,19028
19460,"Decatur, AL (Metropolitan Statistical Area)",382,394,379,370,367,369,376,374,387,441,401,399,407,407,392,391,390,374
19500,"Decatur, IL (Metropolitan Statistical Area)",359,367,361,332,337,345,340,331,318,370,343,337,324,318,317,321,318,311
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",1408,1479,1532,1529,1565,1577,1549,1569,1590,1710,1426,1290,1266,1279,1331,1379,1453,1477
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",28658,29745,29860,29389,29065,28546,28356,28153,28266,29252,28499,28381,28075,27851,28408,28848,28717,28316
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",5700,5789,5677,5394,5294,5327,5592,5703,5773,6348,6301,6277,6237,6294,6296,6361,6409,6352
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",28954,29656,30026,29836,29559,29172,28821,28809,29187,30134,28673,28531,28199,27520,27736,27951,28170,28051
20020,"Dothan, AL (Metropolitan Statistical Area)",472,488,487,466,460,455,453,451,458,508,435,421,413,401,399,406,413,404
20100,"Dover, DE (Metropolitan Statistical Area)",1699,1739,1654,1617,1752,1804,1798,1681,1742,1971,1994,1894,1801,1728,1741,1725,1680,1671
20220,"Dubuque, IA (Metropolitan Statistical Area)",283,286,291,277,272,271,273,277,263,274,253,249,247,253,259,269,266,266
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",2216,2282,2305,2227,1919,1748,1699,1758,1808,2098,1726,1677,1683,1668,1686,1631,1667,1599
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",6143,6363,6434,6499,6543,6637,6928,7115,7204,7420,7355,7413,7676,7839,8008,8113,8283,8159
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",3217,3274,3242,3532,3853,3936,4031,4443,4602,4702,4453,4244,3756,3395,3242,3202,3163,3211
20740,"Eau Claire, WI (Metropolitan Statistical Area)",611,617,616,600,587,578,574,606,629,648,572,558,551,538,526,533,536,546
20940,"El Centro, CA (Metropolitan Statistical Area)",1712,1907,2019,2012,1967,1932,2064,2257,2474,2546,2527,2521,2445,2355,2227,2158,2110,2125
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",4537,4637,4600,4533,4665,5011,4870,5061,5459,6405,6985,6721,6455,6073,5993,5944,5784,5372
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",306,305,304,304,297,292,287,300,295,307,255,253,253,248,260,267,278,272
21300,"Elmira, NY (Metropolitan Statistical Area)",437,415,412,360,342,332,328,324,309,321,239,227,214,210,214,214,212,213
21340,"El Paso, TX (Metropolitan Statistical Area)",8565,8824,8921,9155,9421,9878,10422,11114,12005,12910,13244,13472,13192,12848,12914,12926,12985,13062
21420,"Enid, OK (Metropolitan Statistical Area)",402,399,380,384,381,386,378,378,414,556,492,463,449,453,480,489,487,497
21500,"Erie, PA (Metropolitan Statistical Area)",1488,1503,1483,1506,1495,1496,1519,1599,1653,1694,1569,1539,1509,1521,1516,1540,1558,1608
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",1898,1941,1956,1829,1806,1761,1768,1737,1743,1917,1701,1645,1598,1586,1617,1726,1782,1818
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",1260,1290,1303,1273,1261,1221,1237,1253,1314,1349,1199,1166,1159,1246,1284,1323,1331,1310
21820,"Fairbanks, AK (Metropolitan Statistical Area)",3274,3303,3348,3362,3359,3387,3457,3480,3477,3502,3443,3275,3037,2878,2944,3025,3042,3038
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",2224,2270,2275,2318,2277,2268,2186,2308,2321,2455,2377,2341,2358,2385,2434,2473,2560,2587
22140,"Farmington, NM (Metropolitan Statistical Area)",1576,1622,1632,1666,1620,1546,1482,1464,1548,1704,1602,1613,1547,1494,1490,1505,1510,1488
22180,"Fayetteville, NC (Metropolitan Statistical Area)",10185,10413,10443,10480,10656,10996,11222,12043,12823,13503,14671,15098,14854,14491,14908,15337,15401,15589
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",1656,1753,1851,1939,1968,2067,2182,2327,2453,2566,2293,2306,2406,2462,2489,2471,2474,2563
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",3282,3432,3378,3188,3054,2922,2881,2900,3049,3220,3013,2967,2810,2736,2705,2787,2773,2723
22420,"Flint, MI (Metropolitan Statistical Area)",1474,1503,1531,1509,1479,1470,1434,1435,1430,1466,1282,1169,1067,1040,1058,1075,1094,1090
22500,"Florence, SC (Metropolitan Statistical Area)",820,813,788,777,791,797,809,827,822,985,807,800,749,723,693,659,682,689
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",1677,1754,1709,1708,1725,1663,1594,1486,1439,1415,1369,1273,1175,1074,964,953,885,866
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",247,251,247,251,251,253,247,246,246,249,213,207,203,202,198,198,196,193
22660,"Fort Collins, CO (Metropolitan Statistical Area)",2230,2435,2476,2483,2466,2450,2437,2465,2514,2543,2593,2530,2460,2428,2462,2526,2555,2527
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",1390,1361,1438,1399,1391,1386,1419,1390,1448,1576,1463,1418,1389,1318,1318,1324,1302,1291
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",2253,2340,2240,2198,2177,2272,2301,2254,2200,2137,1928,1925,1943,1921,1981,2080,2135,2110
23420,"Fresno, CA (Metropolitan Statistical Area)",9637,9951,10182,9900,9753,9807,9596,9813,10029,10754,10251,10306,10052,9872,9668,9909,9922,10079
23460,"Gadsden, AL (Metropolitan Statistical Area)",329,340,337,341,332,347,353,350,360,437,343,330,327,303,290,297,301,308
23540,"Gainesville, FL (Metropolitan Statistical Area)",3165,3330,3406,3549,3741,3799,3934,4127,4332,4830,4531,4472,4511,4573,4682,4786,4783,4623
23580,"Gainesville, GA (Metropolitan Statistical Area)",469,501,499,503,480,504,517,508,535,594,487,473,449,458,467,469,475,456
23900,"Gettysburg, PA (Metropolitan Statistical Area)",535,609,609,598,626,740,752,735,735,760,729,734,739,708,714,707,687,678
24020,"Glens Falls, NY (Metropolitan Statistical Area)",409,426,418,402,379,366,393,375,379,431,316,319,312,314,319,326,325,316
24140,"Goldsboro, NC (Metropolitan Statistical Area)",1310,1302,1321,1384,1384,1351,1428,1366,1250,1309,1235,1241,1242,1212,1224,1230,1225,1225
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",1385,1440,1503,1506,1507,1478,1385,1370,1381,1363,1301,1257,1189,1136,1128,1129,1126,1122
24260,"Grand Island, NE (Metropolitan Statistical Area)",705,766,781,762,767,744,744,783,796,814,771,749,713,723,689,700,709,713
24300,"Grand Junction, CO (Metropolitan Statistical Area)",1127,1183,1205,1208,1236,1224,1240,1290,1383,1606,1509,1509,1473,1458,1469,1518,1572,1583
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",3738,3835,3874,3798,3773,3770,3779,3774,3782,3891,3594,3446,3389,3377,3314,3465,3581,3550
24420,"Grants Pass, OR (Metropolitan Statistical Area)",318,341,343,331,323,330,312,311,310,324,271,255,249,263,273,270,263,261
24500,"Great Falls, MT (Metropolitan Statistical Area)",1475,1546,1603,1582,1561,1575,1621,1630,1734,1858,1786,1717,1676,1628,1638,1709,1674,1701
24540,"Greeley, CO (Metropolitan Statistical Area) *",575,595,600,614,598,601,580,601,637,858,586,580,579,591,595,631,662,622
24580,"Green Bay, WI (Metropolitan Statistical Area)",1167,1199,1240,1162,1149,1172,1164,1199,1211,1321,1206,1192,1213,1293,1328,1371,1402,1413
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",4381,4431,4328,4240,4267,4473,4657,4704,4551,4596,4243,4305,4261,4220,4300,4417,4401,4327
24780,"Greenville, NC (Metropolitan Statistical Area)",383,393,359,369,368,390,381,390,455,578,450,440,454,594,685,704,715,722
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",2407,2474,2479,2442,2396,2385,2445,2490,2436,2781,2460,2432,2397,2452,2618,2691,2741,2771
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",8651,8805,8889,8896,9172,9133,9140,9317,9261,9083,9030,9017,9028,8906,8779,8787,8816,8855
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",3455,3614,3529,3531,3511,3705,3952,4305,4483,4606,4598,4524,4518,4513,4096,4016,4060,3951
25220,"Hammond, LA (Metropolitan Statistical Area)",279,286,288,307,292,317,333,340,342,455,335,312,310,343,358,365,372,366
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",913,984,984,964,1136,1137,1160,1219,1219,1183,1218,1187,1146,1101,1131,1166,1160,1184
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",8753,8931,8663,8366,8044,7897,7731,7678,7781,7964,7758,7635,7252,7098,7239,7328,7329,7337
25500,"Harrisonburg, VA (Metropolitan Statistical Area) *",359,380,376,375,340,322,324,329,377,396,357,343,338,338,349,353,348,357
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",7042,7210,7169,7099,6994,6923,6997,6953,6672,6791,6222,6021,5977,6127,6175,6185,6227,6252
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",852,879,847,802,753,862,846,950,965,975,896,896,863,858,869,882,885,803
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",842,849,834,826,817,827,838,852,866,1011,818,753,674,674,660,636,649,669
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",2133,2038,2004,2019,2041,2080,2095,2203,2382,2578,2405,2409,2433,2362,2264,2278,2266,2264
25980,"Hinesville, GA (Metropolitan Statistical Area)",2901,2920,2849,2900,2970,3136,3383,3610,3905,4316,4425,4378,4140,3919,3899,3872,3745,3764
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",205,209,199,201,202,207,216,214,213,274,228,217,216,213,217,225,235,244
26300,"Hot Springs, AR (Metropolitan Statistical Area)",589,614,597,576,569,577,569,577,586,583,534,532,505,490,496,492,455,453
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",443,445,427,449,453,447,432,426,447,588,427,410,398,393,394,408,418,411
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",26715,27262,27851,27741,27972,28158,28474,29112,29219,30568,27885,27506,27772,27807,27931,28465,28978,29203
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",3018,3105,3115,3111,3112,3139,3146,3236,3527,3608,3329,3213,3185,3202,3262,3294,3325,3298
26620,"Huntsville, AL (Metropolitan Statistical Area)",15085,15435,15258,15462,15485,15491,15857,16350,17443,19489,20856,20897,20577,19931,19440,19468,19431,19499
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",848,900,918,943,901,889,938,964,1003,1007,919,927,876,862,894,883,872,860
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",14647,14747,14553,14294,14346,14502,14906,15671,16453,17493,16635,16629,16529,16419,16576,16983,17052,17064
26980,"Iowa City, IA (Metropolitan Statistical Area)",1648,1634,1656,1614,1609,1596,1569,1585,1877,1819,1810,1810,1869,1993,2051,2113,2138,2175
27060,"Ithaca, NY (Metropolitan Statistical Area)",304,324,335,325,312,306,310,302,300,314,300,300,293,267,258,274,268,257
27100,"Jackson, MI (Metropolitan Statistical Area)",451,448,428,411,399,403,393,385,390,394,344,340,326,325,340,334,332,334
27140,"Jackson, MS (Metropolitan Statistical Area)",5729,5842,5966,5877,5968,6560,6646,6891,6865,6823,6596,6620,6565,6646,6638,6519,6379,6293
27180,"Jackson, TN (Metropolitan Statistical Area)",774,806,798,782,761,739,740,731,699,785,694,682,645,627,644,657,639,613
27260,"Jacksonville, FL (Metropolitan Statistical Area)",17245,17805,18115,17854,17453,16959,17062,17164,17566,18071,17428,17354,17126,16978,17293,17774,18023,18313
27340,"Jacksonville, NC (Metropolitan Statistical Area)",5361,5535,5210,5129,4900,5053,5125,5508,6184,6688,6889,7071,7156,7012,6776,6667,6504,6521
