CAEMP25S Total Full-Time and Part-Time Employment by SIC Industry 1/,,,,,,,,,,,,,,
(Number of jobs) ,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",920,        Military,460,453,433,421,390,417,422,409,384,411,346
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",10,Total employment (number of jobs),61514,61999,62930,63450,66521,67208,67252,68160,69232,71824,73462
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",920,        Military,476,463,446,427,388,360,347,329,319,309,307
16180,"Carson City, NV (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16180,"Carson City, NV (Metropolitan Statistical Area)",10,Total employment (number of jobs),26766,27173,27073,28566,30498,32941,34369,35519,36263,37564,39240
16180,"Carson City, NV (Metropolitan Statistical Area)",920,        Military,131,123,129,121,114,103,115,109,104,105,104
16220,"Casper, WY (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16220,"Casper, WY (Metropolitan Statistical Area)",10,Total employment (number of jobs),38058,38809,38045,38759,39738,40383,40551,41280,41582,42325,43624
16220,"Casper, WY (Metropolitan Statistical Area)",920,        Military,362,369,416,399,393,382,381,404,407,383,384
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",10,Total employment (number of jobs),131540,132831,133978,136563,140427,146630,149382,152680,157170,161738,164865
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",920,        Military,1207,1190,1193,1184,1104,1121,1096,1105,1089,1083,1127
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",10,Total employment (number of jobs),62343,61587,61679,62013,62399,63732,65054,66252,65520,64503,65163
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",920,        Military,638,640,638,617,562,511,467,441,432,428,411
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",10,Total employment (number of jobs),118855,117580,117614,113982,116082,118170,119770,121130,123316,126090,128979
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",920,        Military,4946,4616,4518,1572,595,562,556,529,503,492,478
16620,"Charleston, WV (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16620,"Charleston, WV (Metropolitan Statistical Area)",10,Total employment (number of jobs),144191,144766,147343,149778,154304,157425,158902,161195,162819,164269,165406
16620,"Charleston, WV (Metropolitan Statistical Area)",920,        Military,1664,1684,1795,1744,1628,1610,1564,1574,1535,1580,1620
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",10,Total employment (number of jobs),289036,287878,283152,282830,280828,281375,282824,293859,304992,316969,323851
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",920,        Military,34309,34190,30958,26782,22936,16168,12055,10969,11461,13659,13112
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",10,Total employment (number of jobs),855907,841597,854956,884610,920169,959858,986357,1025865,1056196,1094733,1126455
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",920,        Military,6144,6075,6243,6192,6296,5822,5842,5769,5765,5641,5457
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",,Employment by place of work,,,,,,,,,,,
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",10,Total employment (number of jobs),92037,91325,92199,95594,97549,100210,103087,106329,110257,113129,116535
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",920,        Military,947,946,930,930,912,889,891,872,878,881,874
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",10,Total employment (number of jobs),243572,243018,245510,254759,261969,266963,273762,276491,282947,291583,298758
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",920,        Military,2480,2449,2377,2259,2113,2026,1986,1940,1854,1812,1859
16940,"Cheyenne, WY (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16940,"Cheyenne, WY (Metropolitan Statistical Area)",10,Total employment (number of jobs),44257,45286,46097,47556,48911,49370,49791,50275,50884,51821,53509
16940,"Cheyenne, WY (Metropolitan Statistical Area)",920,        Military,4009,4043,3941,3956,4112,4164,4023,3883,3821,3833,3790
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
