Payment group,Description,"Clinical, Functional, and Service Levels",2014 Final HH PPS Case-Mix Weights
30335,"3rd+ Episodes, 11 to 13 Therapy Visits",C3F3S5,1.5548871063576946
40111,"All Episodes, 20+ Therapy Visits ",C1F1S1,1.6745395127748068
40121,"All Episodes, 20+ Therapy Visits ",C1F2S1,1.7912210338680927
40131,"All Episodes, 20+ Therapy Visits ",C1F3S1,1.8879233511586453
40211,"All Episodes, 20+ Therapy Visits ",C2F1S1,1.8095662507427213
40221,"All Episodes, 20+ Therapy Visits ",C2F2S1,1.9263220439691027
40231,"All Episodes, 20+ Therapy Visits ",C2F3S1,2.0230243612596555
40311,"All Episodes, 20+ Therapy Visits ",C3F1S1,2.01574569221628
40321,"All Episodes, 20+ Therapy Visits ",C3F2S1,2.132501485442662
40331,"All Episodes, 20+ Therapy Visits ",C3F3S1,2.229203802733214
